language_1,language_2,jaccard,model,source
ko,ig,0.02077562326869806,llama3,canonical_revoked
ru,ig,0.018541409147095178,llama3,canonical_revoked
tr,ig,0.07911802853437094,llama3,canonical_revoked
ur,ig,0.022033898305084745,llama3,canonical_revoked
yo,ig,0.1790744466800805,llama3,canonical_revoked
de,it,0.06608884073672806,llama3,canonical_revoked
en,it,0.05481283422459893,llama3,canonical_revoked
hi,it,0.017879948914431672,llama3,canonical_revoked
ig,it,0.08071135430916553,llama3,canonical_revoked
it,it,1.0,llama3,canonical_revoked
ko,it,0.015783540022547914,llama3,canonical_revoked
ru,it,0.015416238437821172,llama3,canonical_revoked
tr,it,0.06981740064446831,llama3,canonical_revoked
ur,it,0.015894039735099338,llama3,canonical_revoked
yo,it,0.07758620689655173,llama3,canonical_revoked
de,ko,0.015267175572519083,llama3,canonical_revoked
en,ko,0.019390581717451522,llama3,canonical_revoked
hi,ko,0.01639344262295082,llama3,canonical_revoked
ig,ko,0.02077562326869806,llama3,canonical_revoked
it,ko,0.015783540022547914,llama3,canonical_revoked
ko,ko,1.0,llama3,canonical_revoked
ru,ko,0.014099783080260303,llama3,canonical_revoked
tr,ko,0.015069967707212056,llama3,canonical_revoked
ur,ko,0.015647226173541962,llama3,canonical_revoked
yo,ko,0.025,llama3,canonical_revoked
de,ru,0.014955134596211365,llama3,canonical_revoked
en,ru,0.018564356435643563,llama3,canonical_revoked
hi,ru,0.01589242053789731,llama3,canonical_revoked
ig,ru,0.018541409147095178,llama3,canonical_revoked
it,ru,0.015416238437821172,llama3,canonical_revoked
ko,ru,0.014099783080260303,llama3,canonical_revoked
ru,ru,1.0,llama3,canonical_revoked
tr,ru,0.014778325123152709,llama3,canonical_revoked
ur,ru,0.013924050632911392,llama3,canonical_revoked
yo,ru,0.01950585175552666,llama3,canonical_revoked
de,tr,0.05991735537190083,llama3,canonical_revoked
en,tr,0.03615960099750624,llama3,canonical_revoked
hi,tr,0.01696969696969697,llama3,canonical_revoked
ig,tr,0.07911802853437094,llama3,canonical_revoked
it,tr,0.06981740064446831,llama3,canonical_revoked
ko,tr,0.015069967707212056,llama3,canonical_revoked
ru,tr,0.014778325123152709,llama3,canonical_revoked
tr,tr,1.0,llama3,canonical_revoked
ur,tr,0.015056461731493099,llama3,canonical_revoked
yo,tr,0.08493150684931507,llama3,canonical_revoked
